,names,fandoms,ratings,warnings,relationships,freeforms,words,chapters,comments,characters,collections,kudos,bookmarks
45,𝐇𝐨𝐰 𝐍𝐎𝐓 𝐭𝐨 𝐒𝐮𝐦𝐦𝐨𝐧 𝐚 𝐅𝐞𝐥𝐥 𝐃𝐫𝐚𝐠𝐨𝐧,原神 | Genshin Impact (Video Game),Explicit,No Archive Warnings Apply,"Zhongli (Genshin Impact)/Reader, Xiao (Genshin Impact)/Reader, Scaramouche (Genshin Impact)/Reader, Nezu | Piers (Pokemon)/Reader, Joseph Joestar/Reader, Kaeya (Genshin Impact)/Reader, Gimurei | Grima/Reader, Lucifer (Shall We Date?: Obey Me!)/Reader, Albedo (Genshin Impact)/Reader, Tartaglia | Childe (Genshin Impact)/Reader, Leviathan (Shall We Date?: Obey Me!)/Reader, Alastor (Hazbin Hotel)/Reader, 2P Hetalia Ensemble/Reader, 2P!Canada/Reader, Diluc (Genshin Impact)/Reader, Uchiha Itachi/Reader, Gilgamesh | Caster/Reader, Jafar (Magi)/Reader, Hinahoho (Magi)/Reader, Ren Kouen/Reader, Dande | Leon/Reader, Youko Kurama/Reader, Dante (Devil May Cry)/Reader, Alucard | Adrian Tepes | Arikado Genya/Reader, Kaedehara Kazuha/Reader, Vergil (Devil May Cry)/Reader, Arjuna Alter | Berserker/Reader, ","Reader-Insert, Drabble Collection, Smut, Plot What Plot/Porn Without Plot, Mating Cycles/In Heat, Outdoor Sex, Possessive Sex, Shameless Smut, Breeding, Impregnation, Rough Sex, Lactation Kink, Loss of Virginity, Virginity Kink, Virginity or Celibacy Kink, Demon Sex, Pregnant Sex, Unplanned Pregnancy, Alpha/Beta/Omega Dynamics, Interspecies Sex, Knotting, Porn With Plot, Forest Sex, Married Sex, Non-Explicit Sex, Cock Warming, Vaginal Sex, Lap Sex, Size Kink, Size Difference, Creampie, Sleep Sex, Somnophilia, ",<generator object Tag._all_strings at 0x000001EB1C92BF20>,26,227,"Reader, ",0,2059,141
46,Scent and Sensibility,Naruto,Explicit,Choose Not To Use Archive Warnings,"Hatake Kakashi/Umino Iruka, ","Alpha/Beta/Omega Dynamics, Mating Cycles/In Heat, Knotting, overly protective Kakashi, ridiculous amounts of smelling each other, mild angst turning to fluff after a few good orgasms, apologies to Jane Austen for the title, brief mentions of a past attempted sexual assault, mutually pining idiots, Lots of masturbation, eventually lots of sex too, consent and respect, Iruka isn't a submissive omega stereotype, slowish burn, Перевод на русский | Translation in Russian, ",<generator object Tag._all_strings at 0x000001EB1C92BF90>,8,938,"Umino Iruka, Hatake Kakashi, ",0,7351,1610
47,a symbol of subjugation,Naruto,Mature,Choose Not To Use Archive Warnings,"Senju Tobirama/Uchiha Madara, Senju Hashirama/Uzumaki Mito, Uchiha Izuna & Uchiha Madara, Senju Hashirama & Senju Tobirama, Uchiha Madara & Uzumaki Mito, Senju Hashirama & Uchiha Madara, Senju Touka/Uchiha Hikaku/Uchiha Izuna, ","Alternate Universe - Canon Divergence, POV Multiple, Worldbuilding, Politics, Economics, The Mundanities of War, The Simple Privileges of Peace, Power Imbalance, Power Dynamics, Gender Issues, Gender Roles, Slow Burn, Developing Relationship, Developing Friendships, Concubinage, plot without porn, Rating for themes not porn, I Put My Rage About Kishimoto's Worldbuilding Into a Fic, And I Added MadaTobi Because I Adore Them, Period-Typical Sexism, Period-Typical Underage, As in the historical Sengoku Period, Implied/Referenced Child Abuse, Implied/Referenced Rape/Non-con, Implied/Referenced Dubious Consent, Doesn't Happen Between MadaTobi But Discussed As a Real Possibility Due to Period and Premise, Japanese Culture, Japanese Character(s), Japanese Mythology & Folklore, Canon-Typical Violence, Mundane Uses of Chakra, Mundane Uses of Jutsu, Post-Traumatic Stress Disorder - PTSD, Complex PTSD to be Exact and Due to, Past Child Abuse, Emotional/Psychological Abuse, Childhood Trauma, How Culture Can Be Used to Justify and Perpetuate Abuse, Senju Tobirama Needs a Hug, Senju Hashirama Needs a Hug, Everyone Needs A Hug, Recovery, Healing, Major Character Injury, Blindness, Specifically Tobirama goes blind, Permanent Injury, Intra-clan Politics, inter-clan politics, Philosophy, What Makes for a Non-Human?, Village Building as a Metaphor for Nation Building, Solving Canon's Issues Before They Can Occur, While Dealing Properly With, Mental Health Issues, Because Fuck You and Your Handling of Trauma Kishimoto, Additional Warnings In Author's Note, ",<generator object Tag._all_strings at 0x000001EB1C91B040>,32,1851,"Senju Tobirama, Uchiha Izuna, Uchiha Madara, Uzumaki Mito, Senju Hashirama, Senju Touka, Uchiha Hikaku, Uchiha Kagami, Original Uchiha Character(s), Original Uzumaki Character(s), Sanbi | Three-tails | Isobu, Nibi | Two-tails | Matatabi, Kyuubi | Nine-tails | Kurama, ",0,3729,1466
48,Early Summer Rain,Naruto,Mature,Choose Not To Use Archive Warnings,"Haruno Sakura & Hatake Kakashi, Haruno Sakura & Shiranui Genma, Haruno Sakura & Nara Shikamaru, ","BAMF Haruno Sakura, Haruno Sakura-centric, Angst, Implied/Referenced Child Abuse, Mental Health Issues, Kakashi being a good teacher, Depression, Team as Family, Protective Hatake Kakashi, Tsunade isn't Sakura's teacher, Alternate Universe - Canon Divergence, Socially Awkward Kakashi, Fix-It of Sorts, Canon compliant when it fits, sakura has a bad childhood, Sasuke barely appears in this, Character Development, Developing Friendships, Families of Choice, Happy Ending, realistic recovery, Because depression and trauma don't just disappear, Or even linear and it irks me that people write it that way, ",<generator object Tag._all_strings at 0x000001EB1C91B0B0>,16,909,"Haruno Sakura, Hatake Kakashi, Uzumaki Naruto, Shiranui Genma, Nara Shikamaru, Namiashi Raidou, ",16,5543,1579
49,Waves,Naruto,Mature,Graphic Depictions Of Violence,"Namikaze Minato/Uzumaki Kushina, Haruno Sakura & Jiraiya, ","Original Characters (Briefly) - Freeform, Alternate Universe - Canon Divergence, Technically A Time Travel Fix-It, Rebirth, Sakura Learns Not To Suck, Sakura Is Smurt, ",<generator object Tag._all_strings at 0x000001EB1C91B190>,27,1204,"Haruno Sakura, Uzumaki Kushina, Namikaze Minato, Hatake Kakashi, Nohara Rin, Uchiha Obito, ",38,10013,3516
50,The Great Medic [Original],Naruto,Teen And Up Audiences,"Graphic Depictions Of Violence, Major Character Death","Nara Shikamaru/Uzumaki Naruto, Uchiha Sasuke & Uzumaki Naruto, Haruno Sakura & Uchiha Sasuke & Uzumaki Naruto, Haruno Sakura & Uzumaki Naruto, Hatake Kakashi & Uzumaki Naruto, Sarutobi Hiruzen & Uzumaki Naruto, Uzumaki Naruto & Minor Original Characters, Nara Shikamaru & Uzumaki Naruto, ","medic!Naruto, Naruto is a medic, Medic - Freeform, Naruto Medic, Strong Uzumaki Naruto, Smart Uzumaki Naruto, Uzumaki Naruto is a Good Friend, Dai-nana-han | Team 7 (Naruto) Feels, Team as Family, Medical Procedures, Medical Jargon, Naruto is a medical encyclopedia, Minor Original Character(s), Haruno Sakura is a Good Friend, Uchiha Sasuke is a Good Friend, Nara Shikamaru is a Good Friend, and a better boyfriend, Slow Burn, Slow Burn Nara Shikamaru/Uzumaki Naruto, Friends to Lovers, Sakura is a fangirl, but not in a bad way, Sasuke still wants revenge, but he's not an asshole anymore, Kakashi is still Kakashi, he just loves the team more than he did in canon, Lots of Angst, Feels, Medical Jargon explained for easy reading, i don't know how to tag, Naruto is a precious child and needs a hug, And he gets one always, Anxiety, Depression, ",<generator object Tag._all_strings at 0x000001EB1C91B200>,27,257,"Uzumaki Naruto, Haruno Sakura, Uchiha Sasuke, Hatake Kakashi, Nara Shikamaru, Sarutobi Hiruzen, Umino Iruka, Dai-nana-han | Team 7 (Naruto), Minor Characters, Minor Original Characters - Character, Minor Original Medic Characters, Minor Original Doctor Characters, ",2,3246,1102
51,"Piece by Piece, Back Together",Naruto,Explicit,Choose Not To Use Archive Warnings,"Uchiha Sasuke/Uzumaki Naruto, ","birthday fic, Naruto's pov, a/b/o dynamics, Omega!Naruto, Alpha!Sasuke, Some angst, some violence, Leading up to sexual assault but it doesn't actually occur, Slash, Mpreg, Alternate Universe, Kushina and Minato live, Time Skips, mentions of past character deaths, mature content, Start of a panic attack, Bullying, Name Calling, some drama, Rimming, Medical Examination, Brief explanation of male Omega biology, Birth, Good Orochimaru, Breastfeeding, but not that explicit, Character Death, ""Something blue"", ",<generator object Tag._all_strings at 0x000001EB1C91B270>,22,1347,"Uzumaki Naruto, Uchiha Sasuke, Umino Iruka, Inuzuka Kiba, Namikaze Minato, Uzumaki Kushina, Sakon (Naruto), Jiroubou (Naruto), Kidoumaru (Naruto), Morino Ibiki, Gaara (Naruto), Hatake Kakashi, Nara Shikamaru, Inuzuka Hana, Tsunade (Naruto), Deidara (Naruto), OC Character, Hoozuki Suigetsu, Karin (Naruto), Mizuki (Naruto), Juugo (Naruto), Shizune (Naruto), Temari (Naruto), Sasori (Naruto), Yuuhi Kurenai, ",0,3461,703
52,How Naruto and Sasuke Became Friends,Naruto,Teen And Up Audiences,No Archive Warnings Apply,"Uchiha Sasuke/Uzumaki Naruto, ","Alternate Universe - High School, Accidental Relationship, Domestic, ",<generator object Tag._all_strings at 0x000001EB1C91B2E0>,1,141,"Uchiha Sasuke, Haruno Sakura, Uzumaki Naruto, Hatake Kakashi, Gaara (Naruto), ",8,10257,1660
53,Second Chance,Naruto,Teen And Up Audiences,No Archive Warnings Apply,"Gaara & Nara Shikamaru, ","Time Travel, Fluff, Angst, Family Feels, Friendship, Gaara Needs a Hug, So Does Shikamaru, And Naruto, Post-Traumatic Stress Disorder - PTSD, In This Fic We Love And Cherish All Canon Characters, ",<generator object Tag._all_strings at 0x000001EB1C91B350>,33,1518,"Nara Shikamaru, Gaara (Naruto), Uzumaki Naruto, Temari (Naruto), Kankurou (Naruto), Yashamaru (Naruto), Akimichi Chouji, Nara Shikaku, Nara Yoshino, Uchiha Fugaku, Uchiha Mikoto, ",5,4651,1405
54,Partners,Naruto,Explicit,Choose Not To Use Archive Warnings,"Uchiha Sasuke/Uzumaki Naruto, ","Yaoi, Vampires, Alternate Universe, Alternate Universe - Modern Setting, Action, Romance, Smut, Blood, Supernatural Elements, Were-Creatures, Fights, Clubbing, Dirty Dancing, Masturbation, Violence, Hand Jobs, Oral Sex, Anal Sex, Rimming, Explicit Sexual Content, Angst, Minor Character Death, ",<generator object Tag._all_strings at 0x000001EB1C91B3C0>,35,894,"Uchiha Sasuke, Uzumaki Naruto, Hatake Kakashi, Inuzuka Kiba, Umino Iruka, Hidan (Naruto), Kakuzu (Naruto), ",4,2931,640
55,Waterfall's Last,Naruto,Explicit,"Graphic Depictions Of Violence, Underage","Hatake Kakashi/Umino Iruka, Sarutobi Asuma/Yamato | Tenzou, Namiashi Raidou/Shiranui Genma, Gekkou Hayate/Uzuki Yuugao, Maito Gai | Might Guy/Mitarashi Anko, ","Baby Fic, Kid Fic, Teenagers, Falling In Love, Alpha/Beta/Omega Dynamics, Alpha/Omega, Beta/Beta, Alpha Hatake Kakashi, Omega Umino Iruka, Bottom Umino Iruka, Alpha Sarutobi Asuma, Omega Yamato | Tenzo, Alpha Fu, Omega Uzumaki Naruto, Beta Shiranui Genma, Beta Namiashi Raidou, Mother Hen Shiranui Genma, Yamato goes by Tenzo at this time, ANBU - Freeform, ANBU Culture, Ninja Culture, Iruka is from Waterfall, Fluff, Domestic Fluff, Iruka gets adopted by Kakashi's Anbu team, Consensual Underage Sex, Underage Drinking, Kinda, Because they're legal adults as ninja, Hero Water, Iruka is a giant mother, Attempted Sexual Assault, very mild, Omega/Omega, Smut, Masturbation, Intersex Alphas, Intersex Omegas, Mpreg, Implied Mpreg, Moral Ambiguity, Dubious Morality, you know, ninja being ninja, Arranged Marriage, Parent Umino Iruka, Umino Iruka Adopts Uzumaki Naruto, Parent Hatake Kakashi, ",<generator object Tag._all_strings at 0x000001EB1C91B430>,24,979,"Umino Iruka, Hatake Kakashi, Hatake Kakashi's Ninken, Uzumaki Naruto, Fuu (Naruto), Yamato | Tenzou, Sarutobi Asuma, Mitarashi Anko, Yuuhi Kurenai, Shiranui Genma, Namiashi Raidou, Gekkou Hayate, Uzuki Yuugao, Maito Gai | Might Guy, Shibuki, ",0,4388,1202
56,Akatsuki Babysitter's Club,Naruto,Teen And Up Audiences,Choose Not To Use Archive Warnings,"Hatake Kakashi/Uchiha Obito, Konan/Nagato | Pain, Hoshigaki Kisame/Karatachi Yagura, ","Fix-It, Fix-It of Sorts, Farce, Mood Whiplash, kakashi chooses differently, so obito chooses differently, obito the megalomaniac, obito is also a bit of an idiot, Idiots in Love, househusband fantasies, Aged-Up Character(s), shinobi morals, who let the akatsuki in here, Rin ex Machina, Fade to Black, Kidnapping, If you want to get technical, you can find hiruzen at the shinobi margaritaville, timelines are just suggestions, ",<generator object Tag._all_strings at 0x000001EB1C91B4A0>,3,590,"Hatake Kakashi, Uchiha Obito, Akatsuki (Naruto), Konan (Naruto), Nagato | Pain, Sasori (Naruto), Hidan (Naruto), Kakuzu (Naruto), Orochimaru (Naruto), Tsunade (Naruto), Jiraiya (Naruto), Hoshigaki Kisame, Zetsu (Naruto), Uchiha Mikoto, Uchiha Itachi, Uchiha Shisui, Nohara Rin, Karatachi Yagura, Gaara (Naruto), Fuu (Naruto), Sarutobi Hiruzen, Shimura Danzou, Uzumaki Naruto, ",0,10664,3530
57,"Dirt and Ashes, or: The One-and-a-Half Body Problem",Naruto,Mature,"Graphic Depictions Of Violence, Major Character Death","Haruno Sakura & Hidan, ","Violence, Torture, Jashinism, Alternate Universe - Canon Divergence, Horror Elements, War, No Romance, BAMF Sakura, Hidan-Sensei, Jashinist Sakura, Immortality, thematically post apocalyptic, Dark Comedy, there are spoilers for this fic in the bookmarks for this fic, i can't stop them but I can warn you :), ",<generator object Tag._all_strings at 0x000001EB1C91B580>,21,1290,"Haruno Sakura, Hidan, Orochimaru, Uchiha Itachi, Yamanaka Ino, Hatake Kakashi, a lot of dead people, Uchiha Sasuke, ",36,6468,2548
58,"Adoption by Defenestration; or, A Family Can Be A Fox Demon, Its Jinchuuriki, and Three Dozen Highly-Trained Assassins",Naruto,Teen And Up Audiences,No Archive Warnings Apply,"Uzumaki Naruto & Yamato | Tenzou, ","Alternate Universe - Canon Divergence, Implied/Referenced Child Abuse, Child Neglect, Naruto has three dozen ANBU parents, Перевод на русский | Translation in Russian, ",<generator object Tag._all_strings at 0x000001EB1C91B510>,1,424,"Uzumaki Naruto, Yamato | Tenzou, Uchiha Itachi, Hatake Kakashi, ANBU (Naruto), ",56,14220,4890
59,Sneaking Around Konoha,Harry Potter - J. K. Rowling,Explicit,Graphic Depictions Of Violence,"Harry Potter/ Hatake Kakashi, Minor or Background Relationship(s), ","Crossover, Cross-Posted on FanFiction.Net, Dimension Travel, Magical Accidents, Shinobi, Developing Relationship, Developing Friendships, Alternate Universe - Canon Divergence, Canon-Typical Violence, Blood and Violence, Post-Traumatic Stress Disorder - PTSD, Konohagakure | Hidden Leaf Village, Original Character(s), Supportive Hatake Kakashi, Anbu Hatake Kakashi, Slice of Life, Metamorphmagus, shinobi Teddy Lupin, Bisexual Character, Kidnapping, Unplanned Pregnancy, Single Parents, Family Fluff, Shinobi Politics (Naruto), Hokage Uzumaki Naruto, Mental Health Issues, Mention of self-destructive tendencies, Herbalist Harry Potter, ",<generator object Tag._all_strings at 0x000001EB1C91B5F0>,39,359,"Harry Potter, Hatake Kakashi, Teddy Lupin, Uzumaki Naruto, Haruno Sakura, Uchiha Sasuke, Sarutobi Asuma, Yuuhi Kurenai, Tsunade (Naruto), Jiraiya (Naruto), ANBU (Naruto), Hatake Kakashi's Ninken, Shizune (Naruto), Weasley Family (Harry Potter), Maito Gai | Might Guy, Harry Potter Characters, Other Naruto Character(s), ",12,3239,1266
60,Stepping Stones,Naruto,Explicit,No Archive Warnings Apply,"Hatake Kakashi/Uchiha Obito, ","Romance, Schmoop, Dimension Travel, Angsty Schmoop, Friends to Lovers, Friendship, ",<generator object Tag._all_strings at 0x000001EB1C91B820>,1,99,"Uchiha Obito, Hatake Kakashi, Uzumaki Naruto, Shiranui Genma, Yamato, Haruno Sakura, Uchiha Sasuke, ",0,6893,1491
61,A World of Truth,Naruto,Explicit,No Archive Warnings Apply,"Uchiha Sasuke/Uzumaki Naruto, Hatake Kakashi/Uchiha Obito/Rin, ","Alternate Universe - Canon Divergence, aka Obito wins, Trust Issues, ",<generator object Tag._all_strings at 0x000001EB1E49E190>,10,418,"Uchiha Sasuke, Uzumaki Naruto, Hatake Kakashi, Uchiha Obito, Karin (Naruto), Rin (Naruto), Gaara (Naruto), Haruno Sakura, ",9,7996,2101
62,Nukenin,Naruto,Teen And Up Audiences,No Archive Warnings Apply,,"Dimension Travel, nukenin, Missing-Nin, Konoha ninja are probably confused, Because Kakashi doesn't abandon his comrades, team seven, Kakashi actually being a sensei, Even though he's not, possessive kakashi, Team Seven is his team, Kinda Fluffy, Team as Family, Protective Kakashi, Suspicion, Because ninja, But not too angsty or violent or anything, no beta we die like shinobi, ",<generator object Tag._all_strings at 0x000001EB1E49E200>,4,494,"Hatake Kakashi, Umino Iruka, Uzumaki Naruto, Haruno Sakura, Uchiha Sasuke, Nara Shikaku, ",21,9362,3054
63,All We Left Behind,Naruto,Teen And Up Audiences,Choose Not To Use Archive Warnings,"Shiranui Genma/Uzumaki Naruto, ","Time Travel Fix-It, Alternate Universe - Time Travel, Fluff and Angst, Uzumaki Naruto Needs a Hug, Naruto says fuck authority figures, Fuuinjutsu Master Uzumaki Naruto, Smart Uzumaki Naruto, Angst with a Happy Ending, ",<generator object Tag._all_strings at 0x000001EB1E49E270>,27,688,"Uzumaki Naruto, Shiranui Genma, Namiashi Raidou, Hatake Kakashi, Uchiha Sasuke, Haruno Sakura, Nara Shikaku, Yamanaka Inoichi, Uzuki Yuugao, ",20,3435,1209
64,A Clan Reborn,Naruto,Explicit,No Archive Warnings Apply,"Haruno Sakura/Uzumaki Naruto, Hyuuga Hinata/Uzumaki Naruto, Uzumaki Naruto/Yamanaka Ino, Tenten/Uzumaki Naruto, Tsunade/Uzumaki Naruto, Kyuubi | Nine-tails | Kurama & Uzumaki Naruto, Uzumaki Naruko/Uzumaki Naruto, ","Harems, ",<generator object Tag._all_strings at 0x000001EB1E49E2E0>,30,35,,0,385,168
65,Bloodstained Hands in a World of White,Naruto,Teen And Up Audiences,Major Character Death,,"Alternate Universe - Time Travel, Time Travel, Hatake Kakashi-centric, Hurt/Comfort, Emotional Hurt/Comfort, Angst and Hurt/Comfort, Angst, Third Shinobi War, Protective Hatake Kakashi, Kamui Sharingan, Team Minato - Freeform, Team Minato reunited, poor kakashi, Guilty Kakashi Hatake, Hatake Kakashi Has Issues, Hatake Kakashi Has PTSD, Post-Traumatic Stress Disorder - PTSD, Nightmares, Kid Hatake Kakashi, Dreams and Nightmares, Major Character Undeath, Canonical Character Death, Implied/Referenced Character Death, Minato Namikaze is a Dad, Dad Minato, Shimura Danzou Being an Asshole, Evil Shimura Danzou, ANBU - Freeform, Team Minato-centric, Team Bonding, Fix-It, Fix-It of Sorts, Time Travel Fix-It, Character Death Fix, ",<generator object Tag._all_strings at 0x000001EB1E49E350>,22,1296,"Hatake Kakashi, Uchiha Obito, Nohara Rin, Namikaze Minato, Maito Gai | Might Guy, ",19,5096,1266
66,Hardest of hearts,Naruto,Teen And Up Audiences,Choose Not To Use Archive Warnings,"Jiraiya/Orochimaru (Naruto), ","Alternate Universe - Canon Divergence, Time Travel, Light Romance, Friendship, Oops Orochimaru isn't a raging asshole, Fix-It, kind of?, ",<generator object Tag._all_strings at 0x000001EB1E49E3C0>,1,87,"Orochimaru (Naruto), Uchiha Obito, Jiraiya (Naruto), Sarutobi Hiruzen, Namikaze Minato, Shimura Danzou, ",0,6155,642
67,Frayed Truths,Naruto,General Audiences,No Archive Warnings Apply,"Hatake Kakashi & Uchiha Sasuke, Haruno Sakura & Uchiha Sasuke & Uzumaki Naruto, Uchiha Itachi & Uchiha Sasuke, ","Hurt/Comfort, Team Dynamics, Alternate Universe - Canon Divergence, Uchiha Sasuke-centric, Uchiha Sasuke Has Issues, Everyone has issues honestly, but mostly sasuke, Post-Traumatic Stress Disorder - PTSD, Suicidal Thoughts, Sasuke Deals With His Trauma, and also gets some more, Sasuke spends the first half of the story in a coma, because team 7 needs some character development, itachi has shitty decision-making skills, ",<generator object Tag._all_strings at 0x000001EB1E49E430>,40,1438,"Uchiha Sasuke, Hatake Kakashi, Uzumaki Naruto, Haruno Sakura, Uchiha Itachi, Jiraiya (Naruto), Maito Gai | Might Guy, Tsunade (Naruto), Umino Iruka, Yamanaka Ino, Otogakure no Shinobi Yonin Shuu | Sound Four (Naruto), Shimura Danzou, Hoshigaki Kisame, Morino Ibiki, Uchiha Obito, Orochimaru (Naruto), ",7,3353,755
68,Freedom Fox,Naruto,Explicit,Underage,"Kyuubi | Nine-tails | Kurama/Uzumaki Naruto, Kyuubi | Nine-tails | Kurama/Akamaru, Inuzuka Kiba/Uzumaki Naruto, Akamaru/Naruto, Kyuubi | Nine-tails | Kurama/Inuzuka Kiba, Kyuubi | Nine-tails | Kurama/Uchiha Sasuke/Uzumaki Naruto, ","Mind Control, Bestiality, Hypnotism, Watersports, Scent Marking, Large Cock, Spanking, ",<generator object Tag._all_strings at 0x000001EB1E49E4A0>,7,18,"Kyuubi | Nine-tails | Kurama, Uzumaki Naruto, Akamaru (Naruto), Inuzuka Kiba, Uchiha Sasuke, ",0,656,120
69,through the cracks in reverse,Naruto,Mature,Choose Not To Use Archive Warnings,"Hatake Sakumo/Orochimaru, Hyuuga Hiashi/Uchiha Fugaku, Hatake Kakashi/Kyuubi | Nine-tails | Kurama, Uchiha Mikoto/Uzumaki Kushina, Momochi Zabuza/Gekkou Hayate, Uchiha Shisui/Kyuubi | Nine-tails | Kurama, Kyuubi | Nine-tails | Kurama/Uzumaki Kushina/Namikaze Minato, Hoshigaki Kisame/Uchiha Obito, Kyuubi | Nine-tails | Kurama/Shiranui Genma/Namiashi Raidou, ","Alternate Universe - Canon Divergence, Humor, Angst, Ridiculousness, Fanfiction of Fanfiction, Of my own fanfiction even, ",<generator object Tag._all_strings at 0x000001EB1E49E510>,11,608,"Hatake Sakumo, Hatake Kakashi, Hyuuga Hiashi, Kyuubi | Nine-tails | Kurama, Orochimaru (Naruto), Uchiha Mikoto, Uzumaki Kushina, Uchiha Shisui, Uchiha Fugaku, Fuu (Naruto), Uzumaki Naruto, Gaara (Naruto), Nii Yugito, Nagato | Pain, Harry Potter, Tom Riddle | Voldemort, Momochi Zabuza, Gekkou Hayate, Namikaze Minato, Uchiha Obito, Hoshigaki Kisame, Shiranui Genma, ",0,5582,493
70,Hold on to your heart,Naruto,Teen And Up Audiences,No Archive Warnings Apply,"Jiraiya/Orochimaru (Naruto), Hatake Kakashi/Uchiha Obito, ","Reunions, Fluff, Mindless Fluff, Vague allusions to past torture, Time Travel, First Kiss, ",<generator object Tag._all_strings at 0x000001EB1E49E5F0>,1,218,"Orochimaru (Naruto), Jiraiya (Naruto), Namikaze Minato, Hatake Kakashi, Mitarashi Anko, Uchiha Obito, Hyuuga Hiashi, Hyuuga Hizashi, ",0,8290,681
71,Cultivate Your Hunger,Naruto,Mature,Choose Not To Use Archive Warnings,"Uchiha Sasuke/Uzumaki Naruto, allusions to various other pairings, ","Manga Spoilers, Chapter 700 Coda, Fix It, Angst with a Happy Ending, 中文翻译 | Translation in Chinese, Español | Translation in Spanish, ",<generator object Tag._all_strings at 0x000001EB1E49E660>,1,248,"Uzumaki Naruto, Uchiha Sasuke, Haruno Sakura, ",0,7989,1574
